name,latitude,longitude,arrivingpass
ATL,33.6367,84.4281,40188
SFO,37.6189,122.375,16803
LAX,33.9425,118.4072,23573
JFK,40.6397,73.7789,11916
DFW,32.8969,97.0381,25853
ORD,41.9808,87.9067,26843
MIA,25.7932,80.2906,9199
LGA,40.7772,73.8725,12363
BOS,42.3631,71.0064,12656
DCA,38.8522,77.0378,9582
IAD,38.9475,77.46,7220
EWR,40.6925,74.1686,11740
IAH,29.9844,95.3414,14523
SEA,47.45,122.3117,14863
DEN,39.8617,104.6731,24427
BWI,39.1753,76.6683,10608
SLC,40.7883,111.9778,9431
DTW,42.2125,83.3533,13981
SAN,32.7336,117.1897,8466
PHX,33.4342,112.0117,18302
PDX,45.5883,122.5975,7156
CLT,35.2139,80.9431,19664
MDW,41.7861,87.7525,9539
MCO,28.4294,81.3089,15023
LAS,36.08,115.1522,18365
MSP,44.8819,93.2217,14874
TPA,27.9756,82.5333,7949
